地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1940年,15～19歳,3717483,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,3691794,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,7409277,
全国（日本）,1940年,10～14歳,4242585,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,4164516,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,8407101,
全国（日本）,1940年,5～9歳,4463439,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,4370159,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,8833598,
全国（日本）,1940年,0～4歳,4619512,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,4508497,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,9128009,
全国（日本）,1940年,総数,36540561,総務省統計局「国勢調査」による。;朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,36534510,総務省統計局「国勢調査」による。;朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,73075071,
全国（日本）,1945年,100歳以上,18,年齢は数え年である。;沖縄県を除く。,58,年齢は数え年である。;沖縄県を除く。,76,
全国（日本）,1945年,95～99歳,346,年齢は数え年である。;沖縄県を除く。,1036,年齢は数え年である。;沖縄県を除く。,1382,
全国（日本）,1945年,90～94歳,3702,年齢は数え年である。;沖縄県を除く。,9053,年齢は数え年である。;沖縄県を除く。,12755,
全国（日本）,1945年,85～89歳,22346,年齢は数え年である。;沖縄県を除く。,47392,年齢は数え年である。;沖縄県を除く。,69738,
全国（日本）,1945年,80～84歳,84073,年齢は数え年である。;沖縄県を除く。,152668,年齢は数え年である。;沖縄県を除く。,236741,
全国（日本）,1945年,75～79歳,214842,年齢は数え年である。;沖縄県を除く。,337049,年齢は数え年である。;沖縄県を除く。,551891,
全国（日本）,1945年,70～74歳,462867,年齢は数え年である。;沖縄県を除く。,632271,年齢は数え年である。;沖縄県を除く。,1095138,
全国（日本）,1945年,65～69歳,775188,年齢は数え年である。;沖縄県を除く。,957206,年齢は数え年である。;沖縄県を除く。,1732394,
全国（日本）,1945年,60～64歳,1005064,年齢は数え年である。;沖縄県を除く。,1137204,年齢は数え年である。;沖縄県を除く。,2142268,
全国（日本）,1945年,55～59歳,1289547,年齢は数え年である。;沖縄県を除く。,1307731,年齢は数え年である。;沖縄県を除く。,2597278,
全国（日本）,1945年,50～54歳,1506234,年齢は数え年である。;沖縄県を除く。,1442574,年齢は数え年である。;沖縄県を除く。,2948808,
全国（日本）,1945年,45～49歳,1829696,年齢は数え年である。;沖縄県を除く。,1757230,年齢は数え年である。;沖縄県を除く。,3586926,
全国（日本）,1945年,40～44歳,2046909,年齢は数え年である。;沖縄県を除く。,2043299,年齢は数え年である。;沖縄県を除く。,4090208,
全国（日本）,1945年,35～39歳,1982773,年齢は数え年である。;沖縄県を除く。,2324932,年齢は数え年である。;沖縄県を除く。,4307705,
全国（日本）,1945年,30～34歳,1805587,年齢は数え年である。;沖縄県を除く。,2641750,年齢は数え年である。;沖縄県を除く。,4447337,
全国（日本）,1945年,25～29歳,1603664,年齢は数え年である。;沖縄県を除く。,2811495,年齢は数え年である。;沖縄県を除く。,4415159,
全国（日本）,1945年,20～24歳,2024120,年齢は数え年である。;沖縄県を除く。,3440564,年齢は数え年である。;沖縄県を除く。,5464684,
全国（日本）,1945年,15～19歳,3849481,年齢は数え年である。;沖縄県を除く。,3971049,年齢は数え年である。;沖縄県を除く。,7820530,
全国（日本）,1945年,10～14歳,4365844,年齢は数え年である。;沖縄県を除く。,4279423,年齢は数え年である。;沖縄県を除く。,8645267,
全国（日本）,1945年,5～9歳,4338961,年齢は数え年である。;沖縄県を除く。,4242440,年齢は数え年である。;沖縄県を除く。,8581401,
全国（日本）,1945年,0～4歳,4682797,年齢は数え年である。;沖縄県を除く。,4567621,年齢は数え年である。;沖縄県を除く。,9250418,
全国（日本）,1945年,総数,33894059,内閣統計局（現 総務省統計局）「人口調査」による。;年齢は数え年である。;沖縄県を除く。,38104045,内閣統計局（現 総務省統計局）「人口調査」による。;年齢は数え年である。;沖縄県を除く。,71998104,
全国（日本）,1950年,100歳以上,25,沖縄県の70歳以上の外国人を除く。,72,沖縄県の70歳以上の外国人を除く。,97,
全国（日本）,1950年,95～99歳,491,沖縄県の70歳以上の外国人を除く。,1656,沖縄県の70歳以上の外国人を除く。,2147,
全国（日本）,1950年,90～94歳,3772,沖縄県の70歳以上の外国人を除く。,10541,沖縄県の70歳以上の外国人を除く。,14313,
全国（日本）,1950年,85～89歳,24715,沖縄県の70歳以上の外国人を除く。,55240,沖縄県の70歳以上の外国人を除く。,79955,
全国（日本）,1950年,80～84歳,96600,沖縄県の70歳以上の外国人を除く。,182654,沖縄県の70歳以上の外国人を除く。,279254,
全国（日本）,1950年,75～79歳,270523,沖縄県の70歳以上の外国人を除く。,423156,沖縄県の70歳以上の外国人を除く。,693679,
全国（日本）,1950年,70～74歳,545748,沖縄県の70歳以上の外国人を除く。,749903,沖縄県の70歳以上の外国人を除く。,1295651,
全国（日本）,1950年,65～69歳,803800,,986148,,1789948,
全国（日本）,1950年,60～64歳,1120403,,1208946,,2329349,
全国（日本）,1950年,55～59歳,1392572,,1387462,,2780034,
全国（日本）,1950年,50～54歳,1733836,,1687560,,3421396,
全国（日本）,1950年,45～49歳,2035222,,2007152,,4042374,
全国（日本）,1950年,40～44歳,2217547,,2307924,,4525471,
全国（日本）,1950年,35～39歳,2396611,,2698407,,5095018,
全国（日本）,1950年,30～34歳,2382599,,2871802,,5254401,
全国（日本）,1950年,25～29歳,2847983,,3398305,,6246288,
全国（日本）,1950年,20～24歳,3871815,,3932721,,7804536,
全国（日本）,1950年,15～19歳,4367794,,4301651,,8669445,
全国（日本）,1950年,10～14歳,4456939,,4354415,,8811354,
全国（日本）,1950年,5～9歳,4877311,,4747167,,9624478,
全国（日本）,1950年,0～4歳,5792551,,5558029,,11350580,
全国（日本）,1950年,総数,41241192,総務省統計局「国勢調査」による。,42873382,総務省統計局「国勢調査」による。,84114574,
全国（日本）,1955年,100歳以上,37,沖縄県の70歳以上を除く。,121,沖縄県の70歳以上を除く。,158,
全国（日本）,1955年,95～99歳,423,沖縄県の70歳以上を除く。,1566,沖縄県の70歳以上を除く。,1989,
全国（日本）,1955年,90～94歳,5369,沖縄県の70歳以上を除く。,15251,沖縄県の70歳以上を除く。,20620,
全国（日本）,1955年,85～89歳,33852,沖縄県の70歳以上を除く。,77503,沖縄県の70歳以上を除く。,111355,
全国（日本）,1955年,80～84歳,133192,沖縄県の70歳以上を除く。,244595,沖縄県の70歳以上を除く。,377787,
全国（日本）,1955年,75～79歳,342059,沖縄県の70歳以上を除く。,533642,沖縄県の70歳以上を除く。,875701,
全国（日本）,1955年,70～74歳,593776,沖縄県の70歳以上を除く。,798886,沖縄県の70歳以上を除く。,1392662,
全国（日本）,1955年,65～69歳,925400,,1057199,,1982599,
全国（日本）,1955年,60～64歳,1235983,,1281573,,2517556,
全国（日本）,1955年,55～59歳,1617760,,1610602,,3228362,
全国（日本）,1955年,50～54歳,1941081,,1935698,,3876779,
全国（日本）,1955年,45～49歳,2149102,,2248891,,4397993,
全国（日本）,1955年,40～44歳,2340429,,2640077,,4980506,
全国（日本）,1955年,35～39歳,2336529,,2818160,,5154689,
全国（日本）,1955年,30～34歳,2817154,,3345468,,6162622,
全国（日本）,1955年,25～29歳,3802724,,3860355,,7663079,
全国（日本）,1955年,20～24歳,4231701,,4244253,,8475954,
全国（日本）,1955年,15～19歳,4383128,,4325947,,8709075,
全国（日本）,1955年,10～14歳,4855556,,4729814,,9585370,
全国（日本）,1955年,5～9歳,5694447,,5461568,,11156015,
全国（日本）,1955年,0～4歳,4794426,,4587086,,9381512,
全国（日本）,1955年,総数,44242657,総務省統計局「国勢調査」による。,45833937,総務省統計局「国勢調査」による。,90076594,
全国（日本）,1960年,100歳以上,27,沖縄県の85歳以上を除く。,117,沖縄県の85歳以上を除く。,144,
全国（日本）,1960年,95～99歳,555,沖縄県の85歳以上を除く。,2212,沖縄県の85歳以上を除く。,2767,
全国（日本）,1960年,90～94歳,7678,沖縄県の85歳以上を除く。,21598,沖縄県の85歳以上を除く。,29276,
